Smh îRT @ENewsNow VIDEO : Kat Von D Engaged to Jesse James ? http://eonli.ne/b0b1Fe,"['Von', 'James', 'Jesse', 'Kat', 'Engaged']",test/tweet.test.tok.en-203.txt
yeah vengoo ! :D,['vengoo'],test/tweet.test.tok.en-217.txt
"Is a little disappointed about fall . I've waited & counted down for my favorite season & one day it'll feel amazing , & the next like summer .","['waited', 'summer', 'amazing', 'disappointed', 'fall', 'season', 'counted', 'favorite', 'little']",test/tweet.test.tok.en-377.txt
RT @vanessaangelcin : RIP mbah marijan,"['RIP', 'marijan', 'mbah']",test/tweet.test.tok.en-411.txt
@LightCurls got it -- thanks !,['thanks'],test/tweet.test.tok.en-405.txt
Someone really needs to put Mary Kay out of her misery .,"['misery', 'Mary']",test/tweet.test.tok.en-363.txt
Free 3pk of Lindt Truffles ( US ) http://nblo.gs/9Iuzw,"['Lindt', 'Free', '3pk', 'Truffles']",test/tweet.test.tok.en-439.txt
@brittteague You can beat the crap out of me anytime you break something . =D Love you and get well soon .,"['crap', '@brittteague', 'beat']",test/tweet.test.tok.en-75.txt
@JBieberzLuvies LOL i ranther go see payton rae and MAYBE caitlin beadles XDD,"['caitlin', 'payton', 'beadles', 'rae']",test/tweet.test.tok.en-61.txt
RT @TurntThaFuccUp #TSU + @KevinHart4real = LIVE AS FUCC << #agreed,"['<<', '#agreed']",test/tweet.test.tok.en-388.txt
whatz myspace super star doing ??,"['myspace', 'star']",test/tweet.test.tok.en-49.txt
Bommm Dia !,"['!', 'Bommm']",test/tweet.test.tok.en-175.txt
I miss my BFF @aljamisonxo .. love you !,"['love', '!', 'miss']",test/tweet.test.tok.en-161.txt
RT @jaketapper : Fact : Any politician who tells you any major issue can be fixed JUST by stopping waste fraud + abuse is either ignorant ...,"['waste', 'abuse', 'issue', 'politician', 'tells', 'major', 'stopping', 'fraud', 'ignorant', 'fixed']",test/tweet.test.tok.en-149.txt
dam this guy next to me is looking up some nasty ass shit o__O,"['next', 'ass', 'shit', 'guy', 'looking', 'nasty']",test/tweet.test.tok.en-148.txt
I liked a YouTube video -- Mini Aqwmv - Welcome to the club http://youtu.be/p4gRKvtYu48?a,"['club', 'Welcome', 'video', 'YouTube']",test/tweet.test.tok.en-160.txt
@dwright1906 thanks,['thanks'],test/tweet.test.tok.en-174.txt
HAHAHAHA ! @SpankinD http://moby.to/op9mgt,"['!', '@SpankinD']",test/tweet.test.tok.en-389.txt
@Bieber_BabesXP follow for follow !?,['follow'],test/tweet.test.tok.en-48.txt
@theonlydmdawson would be so proud of me right now :) !,"['proud', 'right']",test/tweet.test.tok.en-60.txt
"@NYFarmer In fact I had some of that Persian dugh last week . To me , it's the mint that makes it great .","['mint', 'week', 'Persian', 'dugh', 'great']",test/tweet.test.tok.en-74.txt
I go to class and come back and the game looks like this ... #womp .. im ready for the lakers yo,"['game', 'looks', 'lakers', 'like', 'ready', 'class']",test/tweet.test.tok.en-438.txt
@SammyAmsterdam I can't join the lobby lol it's full .. me and Domo killing room 1,"['lobby', 'killing', 'join', 'room']",test/tweet.test.tok.en-404.txt
"I'm at Flight Centre Toronto Head Office ( 1 dundas street west , Yonge street , Toronto ) . http://4sq.com/b3s9KJ","['Office', 'Head', 'Flight', 'street', 'Centre', 'Toronto']",test/tweet.test.tok.en-362.txt
#Offthysss - 2tO Daa Morniinqqqq,"['Daa', 'Morniinqqqq', '#Offthysss']",test/tweet.test.tok.en-376.txt
#np Misery =),['Misery'],test/tweet.test.tok.en-410.txt
@olfa_xoxo Hi hi !!! I'm good ... what about you ?,['good'],test/tweet.test.tok.en-216.txt
@LaBraziliana LMAOOO TYPO,['TYPO'],test/tweet.test.tok.en-202.txt
